id,name,now_cost,position,team,goals_scored,minutes,points_per_game_rank_type,transfers_in_event,web_name,assists,bps,status,ict_index,cost_change_event,penalties_order,news,points_per_game_rank,expected_goals_conceded,cost_change_start_fall,total_points,transfers_out,red_cards,starts,cost_change_event_fall,expected_assists,now_cost_rank_type,selected_rank,expected_goal_involvements_per_90,goals_conceded_per_90,expected_goal_involvements,bonus,threat_rank_type,creativity_rank,expected_goals_conceded_per_90,news_added,creativity,dreamteam_count,form_rank_type,corners_and_indirect_freekicks_order,selected_rank_type,cost_change_start,influence_rank,starts_per_90,region,threat_rank,influence_rank_type,saves_per_90,clean_sheets,goals_conceded,ict_index_rank,saves,form,expected_goals_per_90,chance_of_playing_this_round,yellow_cards,clean_sheets_per_90,penalties_missed,value_form,direct_freekicks_order,penalties_saved,chance_of_playing_next_round,expected_goals,expected_assists_per_90,selected_by_percent,in_dreamteam,threat,ep_this,ict_index_rank_type,value_season,own_goals,ep_next,points_per_game,now_cost_rank,event_points,influence,transfers_in,transfers_out_event,creativity_rank_type,form_rank
13,Martin Ødegaard,82,MID,Arsenal,0,253,83,889,Ødegaard,0,29,d,17.0,0,2.0,Ankle injury - 50% chance of playing,189,2.93,3,7,1341756,0,3,0,0.74,8,103,0.42,0.36,1.20,0,96,158,1.04,2024-09-10T00:30:06.311550Z,75.0,0,304,3.0,31,-3,319,1.07,161.0,160,147,0.0,2,1,243,0,0.0,0.16,0.0,1,0.71,0,0.0,1.0,0,50.0,0.46,0.26,3.2,False,60.0,0.0,118,0.9,0,0.2,2.3,11,0,34.4,101145,2459,105,667
15,David Raya Martin,56,GKP,Arsenal,0,900,7,9028,Raya,0,137,a,26.8,0,,,52,10.65,-1,40,1348601,0,10,0,0.01,1,7,0.0,1.1,0.01,6,72,665,1.06,2024-09-25T21:30:06.211210Z,0.0,1,21,,1,1,19,1.0,200.0,663,6,3.2,3,11,172,32,1.3,0.0,100.0,2,0.3,0,0.2,,0,100.0,0.00,0.0,29.6,False,0.0,2.3,7,7.1,0,1.8,4.0,103,3,266.8,1676152,53291,72,220
16,Declan Rice,63,MID,Arsenal,0,762,108,3763,Rice,1,111,a,45.2,0,,,244,8.01,2,17,492431,1,9,0,1.16,34,111,0.23,1.3,1.90,0,76,29,0.95,2024-08-31T21:00:04.536499Z,223.7,0,42,2.0,35,-2,131,1.06,241.0,116,44,0.0,2,11,64,0,3.0,0.09,100.0,2,0.24,0,0.5,2.0,0,100.0,0.74,0.14,2.9,False,87.0,4.0,40,2.7,0,3.5,1.9,55,2,147.2,134153,6021,25,100
17,Bukayo Saka,101,MID,Arsenal,3,740,3,73574,Saka,7,271,a,112.0,0,1.0,,4,7.00,-1,65,3147140,0,9,0,3.41,3,11,0.71,0.97,5.84,10,3,3,0.85,2024-10-12T11:00:07.105879Z,402.7,2,28,1.0,5,1,7,1.09,241.0,4,4,0.0,3,8,3,0,3.7,0.3,100.0,1,0.36,0,0.4,,0,100.0,2.43,0.41,25.4,True,382.0,4.7,2,6.4,0,4.2,7.2,4,2,336.6,2538907,42845,3,68
18,William Saliba,60,DEF,Arsenal,0,749,57,11625,Saliba,0,110,a,15.8,0,,,187,8.01,0,21,2519851,1,9,0,0.31,6,13,0.04,1.08,0.31,0,113,321,0.96,2024-10-19T19:30:06.564445Z,12.4,0,220,,4,0,143,1.08,73.0,338,58,0.0,3,9,253,0,-0.3,0.0,100.0,2,0.36,0,0.0,,0,100.0,0.00,0.04,22.7,False,6.0,0.7,85,3.5,0,0.2,2.3,80,2,138.2,736603,34905,103,672
20,Thomas Partey,50,MID,Arsenal,1,882,51,1248,Thomas,0,163,a,35.0,0,,,130,10.56,0,29,165101,0,10,0,0.48,124,195,0.08,1.12,0.80,3,129,88,1.08,,129.3,0,70,,60,0,77,1.02,81.0,228,25,0.0,3,11,109,0,2.0,0.03,,2,0.31,0,0.4,,0,,0.32,0.05,1.1,False,31.0,3.0,67,5.8,0,2.5,2.9,197,2,187.8,226317,4626,65,153
21,Kieran Tierney,43,DEF,Arsenal,0,0,195,19,Tierney,0,0,i,0.0,0,,Hamstring injury - Unknown return date,528,0.00,2,0,4040,0,0,0,0.00,133,587,0.0,0.0,0.00,0,187,509,0.0,2024-08-12T14:30:04.394338Z,0.0,0,182,,201,-2,521,0.0,243.0,479,197,0.0,0,0,524,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.0,False,0.0,0.0,197,0.0,0,0.0,0.0,549,0,0.0,520,24,196,456
22,Tomiyasu Takehiro,48,DEF,Arsenal,0,6,133,26,Tomiyasu,0,2,i,1.0,0,,Knee injury - Unknown return date,385,0.04,2,1,6794,0,0,0,0.00,36,537,2.7,0.0,0.18,0,101,407,0.6,2024-10-18T16:00:06.930143Z,0.3,0,213,,190,-2,436,0.0,108.0,315,149,0.0,0,0,422,0,0.0,2.7,0.0,0,0.0,0,0.0,,0,0.0,0.18,0.0,0.0,False,9.0,0.0,142,0.2,0,0.0,1.0,310,0,0.4,1186,74,144,586
23,Leandro Trossard,69,MID,Arsenal,2,567,49,2527,Trossard,1,106,a,39.0,0,4.0,,125,5.23,1,30,324285,1,7,0,0.38,16,128,0.3,1.27,1.91,3,38,100,0.83,,119.5,1,65,,41,-1,156,1.11,21.0,66,56,0.0,2,8,90,0,2.3,0.24,,0,0.32,0,0.3,,0,,1.53,0.06,2.3,False,145.0,3.3,55,4.3,0,2.8,3.0,29,2,127.6,317131,12914,73,138
24,Benjamin White,62,DEF,Arsenal,0,604,27,1993,White,1,106,a,17.4,-1,,,103,8.59,3,26,769994,0,6,1,0.14,3,89,0.04,0.89,0.25,0,73,234,1.28,2024-11-01T10:30:05.992177Z,42.4,0,49,,35,-3,183,0.89,241.0,257,73,0.0,3,6,241,0,1.7,0.02,75.0,1,0.45,0,0.3,,0,100.0,0.11,0.02,4.1,False,21.0,2.0,80,4.2,0,2.2,3.2,66,1,110.2,136663,9480,66,188
25,Oleksandr Zinchenko,48,DEF,Arsenal,0,107,42,571,Zinchenko,0,30,a,2.7,0,,,151,0.68,2,8,277991,0,1,0,0.05,34,201,0.04,0.0,0.05,0,103,351,0.57,2024-09-15T23:00:06.018330Z,7.3,0,113,,76,-2,376,0.84,225.0,321,135,0.0,1,0,383,0,0.3,0.0,100.0,0,0.84,0,0.1,,0,100.0,0.00,0.04,1.0,False,8.0,1.3,127,1.7,0,0.8,2.7,306,1,11.8,77447,1223,114,328
73,Norberto Murara Neto,43,GKP,Arsenal,0,180,9,165,Neto,0,30,a,7.8,0,,,70,2.91,2,7,208031,0,2,0,0.00,33,196,0.0,1.0,0.00,0,38,506,1.46,2024-10-05T17:30:06.760449Z,0.0,0,57,,28,-2,237,1.0,30.0,473,24,5.5,0,2,320,11,0.0,0.0,100.0,0,0.0,0,0.0,,0,100.0,0.00,0.0,1.1,False,0.0,1.0,24,1.6,0,0.5,3.5,535,0,77.8,80463,1854,46,448
186,Raheem Sterling,67,MID,Arsenal,0,121,209,92,Sterling,0,10,n,6.7,0,,Ineligible to face his parent club on 10/11. - Expected back 23 Nov,414,0.59,3,4,136687,0,2,0,0.05,19,206,0.29,0.74,0.38,0,111,304,0.44,2024-11-02T15:00:07.534992Z,15.9,0,175,,65,-3,409,1.49,241.0,195,199,0.0,0,1,333,0,0.3,0.25,,0,0.0,0,0.0,,0,0.0,0.33,0.04,1.0,False,47.0,1.3,163,0.6,0,0.0,1.0,36,0,4.8,44086,2854,175,350
578,Riccardo Calafiori,58,DEF,Arsenal,1,384,56,79,Calafiori,0,60,i,26.2,0,,Knee injury - Expected back 23 Nov,186,4.97,2,14,296628,0,4,0,0.41,8,166,0.22,1.41,0.91,1,11,233,1.16,2024-10-23T08:00:07.835459Z,42.8,1,116,,62,-2,170,0.94,106.0,100,68,0.0,0,6,176,0,0.3,0.12,0.0,1,0.0,0,0.1,,0,0.0,0.50,0.1,1.5,False,100.0,0.0,49,2.4,0,0.0,2.3,94,0,119.8,164892,10122,65,346
597,Myles Lewis-Skelly,45,MID,Arsenal,0,15,220,149,Lewis-Skelly,0,5,a,0.6,0,,,440,0.80,0,1,5648,0,0,0,0.00,262,492,0.0,12.0,0.00,0,197,404,4.8,,0.4,0,153,,187,0,420,0.0,241.0,366,205,0.0,0,2,428,0,0.3,0.0,,1,0.0,0,0.1,,0,,0.00,0.0,0.1,False,2.0,1.3,211,0.2,0,0.8,0.5,431,0,3.2,6902,203,216,321
633,Mikel Merino,60,MID,Arsenal,1,259,48,1525,Merino,0,56,a,17.9,0,,,123,3.44,0,12,4704,0,3,0,0.31,52,427,0.43,1.74,1.23,1,110,219,1.2,2024-08-30T13:30:05.886390Z,47.5,0,26,,156,0,228,1.04,200.0,194,96,0.0,0,5,238,0,3.7,0.32,100.0,1,0.0,0,0.6,,0,100.0,0.92,0.11,0.1,False,47.0,4.7,116,2.0,0,4.2,3.0,78,1,83.8,14806,1389,138,65
638,Salah-Eddine Oulad M'hand,45,MID,Arsenal,0,0,259,15,Oulad M'hand,0,0,a,0.0,0,,,596,0.00,0,0,1017,0,0,0,0.00,261,616,0.0,0.0,0.00,0,246,589,0.0,,0.0,0,218,,270,0,589,0.0,152.0,568,252,0.0,0,0,592,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.0,0.0,False,0.0,1.0,255,0.0,0,0.5,0.0,430,0,0.0,1618,43,258,539
639,Tommy Setford,45,GKP,Arsenal,0,0,71,40,Setford,0,0,a,0.0,0,,,611,0.00,0,0,1581,0,0,0,0.00,18,560,0.0,0.0,0.00,0,60,604,0.0,,0.0,0,69,,67,0,604,0.0,241.0,584,71,0.0,0,0,607,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.0,0.0,False,0.0,1.0,71,0.0,0,0.5,0.0,453,0,0.0,1913,72,65,557
657,Maldini Kacurri,40,DEF,Arsenal,0,0,187,175,Kacurri,0,0,a,0.0,0,,,517,0.00,0,0,3461,0,0,0,0.00,211,496,0.0,0.0,0.00,0,176,496,0.0,,0.0,0,166,,181,0,510,0.0,2.0,462,189,0.0,0,0,513,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.0,0.1,False,0.0,1.0,189,0.0,0,0.5,0.0,664,0,0.0,6974,242,188,435
658,Ayden Heaven,40,DEF,Arsenal,0,0,189,120,Heaven,0,0,a,0.0,0,,,519,0.00,0,0,2275,0,0,0,0.00,213,524,0.0,0.0,0.00,0,178,498,0.0,,0.0,0,168,,186,0,512,0.0,241.0,464,191,0.0,0,0,515,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.0,0.0,False,0.0,1.0,191,0.0,0,0.5,0.0,666,0,0.0,4376,164,190,437
659,Ismeal Kabia,45,MID,Arsenal,0,0,278,57,Kabia,0,0,a,0.0,0,,,620,0.00,0,0,787,0,0,0,0.00,291,619,0.0,0.0,0.00,0,267,614,0.0,,0.0,0,241,,271,0,615,0.0,152.0,594,273,0.0,0,0,617,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.0,0.0,False,0.0,1.0,275,0.0,0,0.5,0.0,467,0,0.0,1517,63,278,568
662,Josh Nichols,40,DEF,Arsenal,0,0,170,95,Nichols,0,0,a,0.0,0,,,497,0.00,0,0,822,0,0,0,0.00,191,567,0.0,0.0,0.00,0,157,476,0.0,,0.0,0,146,,196,0,490,0.0,241.0,440,172,0.0,0,0,493,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.0,0.0,False,0.0,1.0,172,0.0,0,0.5,0.0,641,0,0.0,2101,111,171,412
665,Nathan Butler-Oyedeji,45,FWD,Arsenal,0,0,49,2149,Butler-Oyedeji,0,0,a,0.0,0,,,575,0.00,0,0,7029,0,0,0,0.00,66,372,0.0,0.0,0.00,0,47,567,0.0,,0.0,0,41,,56,0,568,0.0,241.0,544,47,0.0,0,0,571,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.0,0.2,False,0.0,1.0,47,0.0,0,0.5,0.0,402,0,0.0,24535,1493,47,516
28,Leon Bailey,63,MID,Aston Villa,0,436,92,1087,Bailey,2,66,a,25.6,0,,,214,4.85,2,19,373206,0,6,0,1.29,36,198,0.35,1.44,1.68,0,84,101,1.0,2024-10-04T14:00:05.587137Z,119.4,0,79,3.0,61,-2,268,1.24,107.0,129,119,0.0,1,7,181,0,2.0,0.08,100.0,2,0.21,0,0.3,4.0,0,100.0,0.39,0.27,1.1,False,77.0,1.5,96,3.0,0,1.0,2.1,57,1,60.4,120502,3515,74,164
29,Ross Barkley,52,MID,Aston Villa,1,271,104,11,Barkley,1,57,i,24.8,0,,Knock - Expected back 23 Nov,240,1.84,3,15,67400,0,1,0,0.20,100,293,0.32,1.0,0.95,0,70,175,0.61,2024-11-01T16:30:07.356966Z,65.8,0,75,,96,-3,219,0.33,241.0,109,91,0.0,1,3,186,0,2.0,0.25,0.0,3,0.33,0,0.4,,0,0.0,0.75,0.07,0.3,False,94.0,0.0,99,2.9,0,0.0,1.9,165,0,88.8,15641,2587,113,159
30,Enzo Barrenechea,49,MID,Aston Villa,0,0,288,0,Barrenechea,0,0,u,0.0,0,,Loaned to Valencia CF,639,0.00,1,0,5013,0,0,0,0.00,189,591,0.0,0.0,0.00,0,285,633,0.0,2024-08-31T06:33:47.934620Z,0.0,0,267,,252,-1,638,0.0,,628,287,0.0,0,0,639,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.0,False,0.0,0.0,288,0.0,0,0.0,0.0,288,0,0.0,872,16,288,608
31,Emiliano Buendía Stati,53,MID,Aston Villa,0,20,200,81,Buendia,0,14,a,1.3,0,,,402,0.37,2,4,11940,0,0,0,0.01,90,453,0.44,0.0,0.10,0,195,352,1.66,,7.0,0,171,,167,-2,419,0.0,10.0,358,204,0.0,0,0,416,0,0.3,0.4,,0,0.0,0,0.1,3.0,0,,0.09,0.04,0.1,False,3.0,-0.2,204,0.8,0,-0.7,1.0,153,0,3.4,4921,198,195,344
32,Matty Cash,44,DEF,Aston Villa,0,425,61,1010,Cash,0,52,d,9.9,0,,Calf injury - 75% chance of playing,193,5.07,1,13,252958,0,6,0,0.16,99,187,0.04,0.85,0.19,0,100,254,1.07,2024-11-04T00:00:07.281139Z,33.0,0,54,,70,-1,274,1.27,172.0,311,100,0.0,1,4,305,0,1.3,0.01,100.0,1,0.21,0,0.3,,0,75.0,0.03,0.03,1.2,False,9.0,0.8,98,3.0,0,0.2,2.2,495,1,57.4,65861,3153,75,198
33,Leander Dendoncker,45,MID,Aston Villa,0,0,231,0,Dendoncker,0,0,u,0.0,0,,On loan to Anderlecht for the rest of the season,558,0.00,0,0,82658,0,0,0,0.00,229,318,0.0,0.0,0.00,0,218,550,0.0,2024-09-02T10:45:36.198316Z,0.0,0,188,,105,0,551,0.0,,527,224,0.0,0,0,554,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.3,False,0.0,0.0,227,0.0,0,0.0,0.0,365,0,0.0,18187,656,230,499
34,Moussa Diaby,65,MID,Aston Villa,0,0,307,0,Diaby,0,0,u,0.0,0,,Permanent transfer to Al Ittihad,670,0.00,0,0,3259,0,0,0,0.00,26,604,0.0,0.0,0.00,0,307,671,0.0,2024-07-26T08:50:40.300928Z,0.0,0,302,,262,0,671,0.0,,671,307,0.0,0,0,671,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.0,False,0.0,0.0,307,0.0,0,0.0,0.0,46,0,0.0,0,8,307,661
35,Diego Carlos Santos Silva,45,DEF,Aston Villa,0,378,64,997,Diego Carlos,0,30,a,6.9,0,,,197,5.36,0,11,52662,0,3,0,0.04,58,263,0.1,1.67,0.43,0,117,360,1.28,2024-09-25T21:30:06.256588Z,5.4,0,91,,96,0,271,0.71,30.0,348,99,0.0,1,7,329,0,0.7,0.09,100.0,0,0.24,0,0.2,,0,100.0,0.39,0.01,0.5,False,4.0,0.2,108,2.4,0,-0.3,2.2,368,0,59.2,29918,1594,119,276
36,Lucas Digne,47,DEF,Aston Villa,0,768,16,26140,Digne,3,145,a,42.3,0,,,72,9.45,-2,35,430977,0,10,0,1.65,40,47,0.22,1.52,1.94,6,62,36,1.11,,204.2,2,18,2.0,17,2,79,1.17,73.0,222,27,0.0,2,13,75,0,3.7,0.03,,3,0.23,0,0.8,2.0,0,,0.29,0.19,9.5,False,35.0,3.2,12,7.4,0,2.7,3.5,331,0,183.0,1147614,27351,4,60
37,Lewis Dobbin,50,MID,Aston Villa,0,0,294,0,Dobbin,0,0,u,0.0,0,,Permanent transfer to West Bromwich Albion,647,0.00,0,0,257,0,0,0,0.00,148,663,0.0,0.0,0.00,0,292,644,0.0,2024-08-07T08:21:33.016106Z,0.0,0,277,,300,0,646,0.0,,642,293,0.0,0,0,647,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.0,False,0.0,0.0,294,0.0,0,0.0,0.0,229,0,0.0,0,1,294,620
38,Jhon Durán,61,FWD,Aston Villa,4,253,23,3630,Duran,0,124,a,31.3,0,,,124,4.93,-1,30,604808,0,0,0,0.18,21,87,0.91,2.85,2.56,5,24,278,1.75,,24.0,0,34,,16,1,128,0.0,48.0,68,16,0.0,0,8,139,0,1.0,0.85,,1,0.0,0,0.2,,0,,2.38,0.06,4.2,False,140.0,0.5,21,4.9,0,0.0,3.0,76,1,148.2,943172,37699,33,256
39,Joe Gauci,40,GKP,Aston Villa,0,0,52,473,Gauci,0,0,a,0.0,0,,,487,0.00,0,0,37010,0,0,0,0.00,64,214,0.0,0.0,0.00,0,26,467,0.0,,0.0,0,45,,30,0,481,0.0,13.0,430,52,0.0,0,0,484,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.0,0.9,False,0.0,-0.5,52,0.0,0,-1.0,0.0,630,0,0.0,56257,959,34,402
40,Kortney Hause,40,DEF,Aston Villa,0,0,154,191,Hause,0,0,a,0.0,0,,,460,0.00,0,0,39052,0,0,0,0.00,164,242,0.0,0.0,0.00,0,137,437,0.0,,0.0,0,126,,88,0,452,0.0,241.0,398,155,0.0,0,0,455,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.0,0.6,False,0.0,-0.5,155,0.0,0,-1.0,0.0,592,0,0.0,32329,909,154,370
41,Samuel Iling-Junior,54,MID,Aston Villa,0,0,302,0,Iling Jr,0,0,u,0.0,0,,Season long loan to Bologna,661,0.00,1,0,6501,0,0,0,0.00,83,584,0.0,0.0,0.00,0,300,661,0.0,2024-08-29T11:07:04.555253Z,0.0,0,289,,248,-1,662,0.0,,658,302,0.0,0,0,662,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.0,False,0.0,0.0,302,0.0,0,0.0,0.0,140,0,0.0,342,15,302,642
42,Boubacar Kamara,50,MID,Aston Villa,0,17,197,132,Kamara,0,10,a,0.6,0,,,396,0.25,0,2,698,0,0,0,0.01,136,623,0.05,10.59,0.01,0,288,389,1.32,2024-07-17T13:30:04.954579Z,1.6,0,141,,275,0,416,0.0,73.0,636,202,0.0,0,2,429,0,0.7,0.0,100.0,0,0.0,0,0.1,,0,100.0,0.00,0.05,0.0,False,0.0,0.2,212,0.4,0,-0.3,1.0,214,1,4.0,1115,86,209,296
43,Kaine Kesler-Hayden,40,DEF,Aston Villa,0,0,167,0,Kesler-Hayden,0,0,u,0.0,0,,Has joined Preston North End for the rest of the season,491,0.00,0,0,1427,0,0,0,0.00,187,629,0.0,0.0,0.00,0,154,471,0.0,2024-08-09T11:14:21.895838Z,0.0,0,143,,209,0,485,0.0,,434,170,0.0,0,0,488,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.0,False,0.0,0.0,170,0.0,0,0.0,0.0,634,0,0.0,0,12,169,406
44,Ezri Konsa Ngoyo,45,DEF,Aston Villa,1,731,69,3798,Konsa,0,102,a,26.7,0,,,206,9.27,0,19,941139,0,9,0,0.33,60,39,0.08,1.72,0.68,1,38,198,1.14,2024-10-06T22:00:07.014898Z,55.2,1,92,,14,0,117,1.11,241.0,172,45,0.0,0,14,173,0,0.7,0.04,100.0,0,0.0,0,0.2,,0,100.0,0.35,0.04,10.7,False,55.0,0.2,47,4.2,0,-0.3,2.1,370,0,156.6,804820,29940,50,277
45,Ian Maatsen,47,DEF,Aston Villa,0,137,130,536,Maatsen,0,22,a,13.1,0,,,378,2.01,3,8,262022,0,0,0,0.68,44,151,0.46,1.31,0.69,0,89,145,1.32,,83.3,0,111,,56,-3,323,0.0,152.0,283,116,0.0,0,2,274,0,0.3,0.01,,0,0.0,0,0.1,,0,,0.01,0.45,1.7,False,16.0,-0.2,91,1.7,0,-0.7,1.0,339,0,32.2,64494,3947,32,325
46,Filip Marschall,40,GKP,Aston Villa,0,0,51,0,Marschall,0,0,u,0.0,0,,Has joined MK Dons for the rest of the season,486,0.00,0,0,57,0,0,0,0.00,63,669,0.0,0.0,0.00,0,25,466,0.0,2024-07-18T09:50:40.812599Z,0.0,0,44,,71,0,480,0.0,,429,51,0.0,0,0,483,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.0,False,0.0,0.0,51,0.0,0,0.0,0.0,629,0,0.0,0,1,33,401
47,Emiliano Martínez Romero,50,GKP,Aston Villa,0,900,19,11613,Martinez,0,115,a,22.5,0,,,120,11.42,0,30,735000,0,10,0,0.00,7,26,0.0,1.5,0.00,2,66,636,1.14,,0.0,0,8,,3,0,47,1.0,10.0,632,13,2.4,1,15,202,24,3.3,0.0,,1,0.1,0,0.7,,1,,0.00,0.0,13.6,False,0.0,2.8,13,6.0,0,2.3,3.0,193,0,224.4,755017,29985,68,77
